publishedAt,source_name,title,url
2026-05-13T08:47:59Z,ANSA.it,"Camere di commercio, ""spostare manifestazione 30/5 al Brennero in altra area""",https://www.ansa.it/emiliaromagna/notizie/2026/05/13/camere-di-commercio-spostare-manifestazione-305-al-brennero-in-altra-area_be4b6646-7435-4ff7-9287-fe73695e8f6d.html
2026-05-13T08:47:26Z,ANSA.it,"Camere di commercio, ""spostare manifestazione 30/5 al Brennero in altra area""",https://www.ansa.it/veneto/notizie/2026/05/13/camere-di-commercio-spostare-manifestazione-305-al-brennero-in-altra-area_197f1e2d-00cb-4516-ae6a-25cb0fe3ad76.html
2026-05-13T08:47:26Z,ANSA.it,"Camere di commercio, ""spostare manifestazione 30/5 al Brennero in altra area""",https://www.ansa.it/lombardia/notizie/2026/05/13/camere-di-commercio-spostare-manifestazione-305-al-brennero-in-altra-area_3bf305fc-b900-42bf-9523-e3637c238b3d.html
2026-05-13T08:47:23Z,ANSA.it,"Camere di commercio, ""spostare manifestazione 30/5 al Brennero in altra area""",https://www.ansa.it/trentino/notizie/2026/05/13/camere-di-commercio-spostare-manifestazione-305-al-brennero-in-altra-area_58dcf1c4-9263-416c-8864-3a99e8d98f15.html
2026-05-13T08:45:26Z,Windowsblogitalia.com,"Microsoft ha corretto 120 falle, nessuna 0-day!",https://www.windowsblogitalia.com/2026/05/microsoft-patch-sicurezza-vulnerabilita-maggio-2026/
2026-05-13T08:45:09Z,Tuttomercatoweb.com,"Bonucci incerto sul proprio futuro nell'Italia: ""A fine contratto vedremo. Mondiale? Tifo Argentina""",https://www.tuttomercatoweb.com/serie-a/bonucci-incerto-sul-proprio-futuro-nell-italia-a-fine-contratto-vedremo-mondiale-tifo-argentina-2233615
2026-05-13T08:43:48Z,Multiplayer.it,Sony Xperia 1 VIII ufficiale: nuova fotocamera con IA e teleobiettivo più grande,https://multiplayer.it/notizie/sony-xperia-1-viii-ufficiale-fotocamera-ia-teleobiettivo-piu-grande.html
2026-05-13T08:42:00Z,Tuttomercatoweb.com,"Totti sul ritorno alla Roma: ""Non ci pensiamo. Nazionale? Ranieri può essere l'uomo giusto""",https://www.tuttomercatoweb.com/serie-a/totti-sul-ritorno-alla-roma-non-ci-pensiamo-nazionale-ranieri-puo-essere-l-uomo-giusto-2233612
2026-05-13T08:40:43Z,Ilfattoquotidiano.it,Corte dei conti cita de Magistris: contestato un danno erariale da 23 milioni. L’ex sindaco di Napoli: “Certo della correttezza del mio operato”,https://www.ilfattoquotidiano.it/2026/05/13/corte-dei-conti-cita-de-magistris-contestato-un-danno-erariale-da-23-milioni-lex-sindaco-di-napoli-certo-della-correttezza-del-mio-operato/8384564/
2026-05-13T08:40:41Z,Tuttoandroid.net,Sony Xperia 1 VIII è ufficiale e punta sulla fotografia con AI Camera Assistant,https://www.tuttoandroid.net/news/2026/05/13/sony-xperia-1-viii-ufficiale-specifiche-prezzo-uscita-1152989/
2026-05-13T08:37:05Z,Ilgiornale.it,"Il Comune di Taranto patrocina gli eventi per la Flotilla. Tajani: ""36 italiani sulle barche in Turchia""",https://www.ilgiornale.it/news/cronaca-internazionale/comune-taranto-patrocina-eventi-flotilla-tajani-36-italiani-2663824.html
2026-05-13T08:36:35Z,Ilfattoquotidiano.it,"Urso esulta, ma le aziende tech bocciano il suo decreto: “Transizione 5.0? Incentivi per tornare indietro e frenare l’innovazione digitale”",https://www.ilfattoquotidiano.it/2026/05/13/urso-esulta-ma-le-aziende-tech-bocciano-il-suo-decreto-transizione-5-0-incentivi-per-tornare-indietro-e-frenare-linnovazione-digitale/8383888/
2026-05-13T08:36:25Z,ANSA.it,"Bernini, Italia in prima fila per creare una università a Gaza",https://www.ansa.it/sito/notizie/cronaca/2026/05/13/bernini-italia-in-prima-fila-per-creare-una-universita-a-gaza_b5a3b5a3-e987-445f-9a02-d05f8d57a8b3.html
2026-05-13T08:29:26Z,La Repubblica,"Hantavirus, turista inglese in quarantena al Sacco: il volo con i contagiati e i 17 giorni in Italia",https://milano.repubblica.it/cronaca/2026/05/13/news/turista_inglese_sacco_milano_hantavirus_contatti_quarantena-425341895/
2026-05-13T08:26:55Z,Theapplelounge.com,"iOS 26.5 arriva su iPhone, ma manca una funzione per l’Italia",https://www.theapplelounge.com/ios-os/ios-26-5-arriva-su-iphone-ma-manca-una-funzione-per-litalia/
2026-05-13T08:25:32Z,Tuttomercatoweb.com,"Di Matteo: ""Una finale è una finale, c’è spazio per le sorprese. E Motta? Davvero niente male""",https://www.tuttomercatoweb.com/serie-a/di-matteo-una-finale-e-una-finale-c-e-spazio-per-le-sorprese-e-motta-davvero-niente-male-2233607
2026-05-13T08:23:49Z,Tuttomercatoweb.com,"Il Karagumruk retrocede, non scatta l'obbligo di riscatto di Verde. Tornerà allo Spezia",https://www.tuttomercatoweb.com/serie-b/il-karagumruk-retrocede-non-scatta-l-obbligo-di-riscatto-di-verde-tornera-allo-spezia-2233605
2026-05-13T08:21:54Z,Ilfattoquotidiano.it,"Malagò ufficializza la candidatura, Abete lo segue: il duello per la presidenza della Figc",https://www.ilfattoquotidiano.it/2026/05/13/elezioni-figc-malago-abete-presidenza-notizie/8384452/
2026-05-13T08:20:26Z,ANSA.it,"Gradimento dei governatori, Alessandra Todde perde il 4% e scende al 33%",https://www.ansa.it/sardegna/notizie/2026/05/13/gradimento-dei-governatori-alessandra-todde-perde-il-4-e-scende-al-33_839b28d3-bbd0-4c1e-972e-3b521c9c5450.html
2026-05-13T08:19:23Z,ANSA.it,"10 arresti per truffe a anziani, bottino di quasi mezzo milione di euro",https://www.ansa.it/campania/notizie/2026/05/13/10-arresti-per-truffe-a-anziani-bottino-di-quasi-mezzo-milione-di-euro_20f6a8c7-80da-4f52-be2e-a0029ecf88e5.html
2026-05-13T08:18:16Z,Tuttomercatoweb.com,"Il Como punta Cambiaso. Parisi, Pellegrini, Venturino e Cambiaghi le alternative",https://www.tuttomercatoweb.com/serie-a/il-como-punta-cambiaso-parisi-pellegrini-venturino-e-cambiaghi-le-alternative-2233604
2026-05-13T08:18:02Z,ANSA.it,"Scoperta distilleria clandestina nel Trevigiano, due indagati",https://www.ansa.it/veneto/notizie/2026/05/13/scoperta-distilleria-clandestina-nel-trevigiano-due-indagati_0985a508-793b-45f1-9457-760555fdd937.html
